gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
Destiny,PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,Other Region,0.92
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,42,8.6,2162,Rocksteady Studios,T,North America,2.71
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,42,8.6,2162,Rocksteady Studios,T,Europe,1.85
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,42,8.6,2162,Rocksteady Studios,T,Japan,0.11
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96,42,8.6,2162,Rocksteady Studios,T,Other Region,0.81
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,North America,1.85
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,Europe,2.5
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,Japan,0.19
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,5.38,93,113,7.9,7064,Naughty Dog,T,Other Region,0.85
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,North America,3.13
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,Europe,1.69
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,Japan,0.03
Assassin's Creed III,X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196,Ubisoft,M,Other Region,0.44
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,North America,3.22
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,Europe,1.55
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,Japan,0.01
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.27,81,53,5.4,898,Sledgehammer Games,M,Other Region,0.48
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,North America,2.3
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,Europe,1.34
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,Japan,1.27
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.22,84,70,8.1,733,Nintendo,E,Other Region,0.32
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,North America,1.09
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,Europe,3.47
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,Japan,0.03
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.16,90,48,6.1,403,Electronic Arts,E,Other Region,0.57
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,North America,2.44
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,Europe,2.16
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,Japan,0
Diablo III,PC,2012,Role-Playing,Activision,5.14,88,86,4,9629,Blizzard Entertainment,M,Other Region,0.54
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,88,6.5,604,Lionhead Studios,M,North America,3.59
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,88,6.5,604,Lionhead Studios,M,Europe,1.08
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,88,6.5,604,Lionhead Studios,M,Japan,0.05
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80,88,6.5,604,Lionhead Studios,M,Other Region,0.38
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,51,8,233,EA Sports,E,North America,0.61
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,51,8,233,EA Sports,E,Europe,3.28
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,51,8,233,EA Sports,E,Japan,0.06
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89,51,8,233,EA Sports,E,Other Region,1.12
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93,82,8.2,3052,Blizzard Entertainment,T,North America,2.57
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93,82,8.2,3052,Blizzard Entertainment,T,Europe,1.68
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93,82,8.2,3052,Blizzard Entertainment,T,Japan,0
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.84,93,82,8.2,3052,Blizzard Entertainment,T,Other Region,0.58
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,101,8.7,2633,SCE Santa Monica,M,North America,2.74
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,101,8.7,2633,SCE Santa Monica,M,Europe,1.33
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,101,8.7,2633,SCE Santa Monica,M,Japan,0.12
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92,101,8.7,2633,SCE Santa Monica,M,Other Region,0.61
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,87,8.7,1472,Rocksteady Studios,T,North America,2.99
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,87,8.7,1472,Rocksteady Studios,T,Europe,1.27
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,87,8.7,1472,Rocksteady Studios,T,Japan,0.04
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94,87,8.7,1472,Rocksteady Studios,T,Other Region,0.42
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,North America,2.07
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,Europe,1.71
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,Japan,0.08
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,Other Region,0.76
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,North America,1.8
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,Europe,1.39
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,Japan,1.11
