gname,platform,year,genre,publisher,global_sales,critic_score,critic_count,user_score,user_count,developer,rating,region,sales
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,Europe,1.71
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,Japan,0.08
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,86,78,8.1,1264,Bluepoint Games,T,Other Region,0.76
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,North America,1.8
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,Europe,1.39
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,Japan,1.11
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,86,74,8.4,458,Next Level Games,E,Other Region,0.29
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84,101,6.4,2438,343 Industries,T,North America,2.78
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84,101,6.4,2438,343 Industries,T,Europe,1.27
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84,101,6.4,2438,343 Industries,T,Japan,0.03
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,84,101,6.4,2438,343 Industries,T,Other Region,0.41
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77,82,3.4,1129,Infinity Ward,M,North America,1.61
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77,82,3.4,1129,Infinity Ward,M,Europe,2
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77,82,3.4,1129,Infinity Ward,M,Japan,0.15
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,77,82,3.4,1129,Infinity Ward,M,Other Region,0.71
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81,88,8.5,1184,Nintendo,E10+,North America,1.54
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81,88,8.5,1184,Nintendo,E10+,Europe,1.18
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81,88,8.5,1184,Nintendo,E10+,Japan,1.46
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,81,88,8.5,1184,Nintendo,E10+,Other Region,0.26
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77,61,7.9,471,Nintendo,E10+,North America,2.52
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77,61,7.9,471,Nintendo,E10+,Europe,1.11
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77,61,7.9,471,Nintendo,E10+,Japan,0.46
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77,61,7.9,471,Nintendo,E10+,Other Region,0.33
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93,83,9,1607,Nintendo,E,North America,2.11
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93,83,9,1607,Nintendo,E,Europe,1.16
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93,83,9,1607,Nintendo,E,Japan,0.73
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93,83,9,1607,Nintendo,E,Other Region,0.32
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88,39,6.2,1749,Bethesda Game Studios,M,North America,2.51
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88,39,6.2,1749,Bethesda Game Studios,M,Europe,1.32
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88,39,6.2,1749,Bethesda Game Studios,M,Japan,0.01
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88,39,6.2,1749,Bethesda Game Studios,M,Other Region,0.38
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84,41,4.2,435,EA Canada,E,North America,0.92
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84,41,4.2,435,EA Canada,E,Europe,2.89
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84,41,4.2,435,EA Canada,E,Japan,0.01
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84,41,4.2,435,EA Canada,E,Other Region,0.4
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88,31,8.4,809,EA DICE,M,North America,1.1
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88,31,8.4,809,EA DICE,M,Europe,2.15
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88,31,8.4,809,EA DICE,M,Japan,0.21
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88,31,8.4,809,EA DICE,M,Other Region,0.61
Watch Dogs,PS4,2014,Action,Ubisoft,4.05,80,80,6.3,2996,Ubisoft Montreal,M,North America,1.4
Watch Dogs,PS4,2014,Action,Ubisoft,4.05,80,80,6.3,2996,Ubisoft Montreal,M,Europe,1.9
Watch Dogs,PS4,2014,Action,Ubisoft,4.05,80,80,6.3,2996,Ubisoft Montreal,M,Japan,0.11
Watch Dogs,PS4,2014,Action,Ubisoft,4.05,80,80,6.3,2996,Ubisoft Montreal,M,Other Region,0.64
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04,85,83,7.7,1653,Ubisoft Montreal,M,North America,1.13
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04,85,83,7.7,1653,Ubisoft Montreal,M,Europe,2.18
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04,85,83,7.7,1653,Ubisoft Montreal,M,Japan,0.1
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04,85,83,7.7,1653,Ubisoft Montreal,M,Other Region,0.63
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,North America,1.02
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,Europe,2.13
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,Japan,0.23
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,Other Region,0.59
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,North America,1.19
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,Europe,2.07
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,Japan,0.08
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,Other Region,0.62
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87,89,7.6,2679,Rocksteady Studios,M,North America,1.53
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87,89,7.6,2679,Rocksteady Studios,M,Europe,1.69
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87,89,7.6,2679,Rocksteady Studios,M,Japan,0.1
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87,89,7.6,2679,Rocksteady Studios,M,Other Region,0.64
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89,86,80,8.7,348,Capcom,T,North America,0.68
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89,86,80,8.7,348,Capcom,T,Europe,0.48
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89,86,80,8.7,348,Capcom,T,Japan,2.62
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89,86,80,8.7,348,Capcom,T,Other Region,0.11
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88,87,51,6.7,364,Visual Concepts,E10+,North America,2.49
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88,87,51,6.7,364,Visual Concepts,E10+,Europe,0.66
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88,87,51,6.7,364,Visual Concepts,E10+,Japan,0.03
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88,87,51,6.7,364,Visual Concepts,E10+,Other Region,0.69
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83,78,49,3.7,1564,Infinity Ward,M,North America,1.78
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83,78,49,3.7,1564,Infinity Ward,M,Europe,1.43
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83,78,49,3.7,1564,Infinity Ward,M,Japan,0.05
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83,78,49,3.7,1564,Infinity Ward,M,Other Region,0.57
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8,80,64,7,2219,Massive Entertainment,M,North America,1.35
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8,80,64,7,2219,Massive Entertainment,M,Europe,1.7
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8,80,64,7,2219,Massive Entertainment,M,Japan,0.15
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8,80,64,7,2219,Massive Entertainment,M,Other Region,0.6
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71,88,36,8.1,840,Ubisoft,M,North America,1.33
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71,88,36,8.1,840,Ubisoft,M,Europe,1.68
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71,88,36,8.1,840,Ubisoft,M,Japan,0.13
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71,88,36,8.1,840,Ubisoft,M,Other Region,0.57
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,North America,2.27
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,Europe,0.9
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,Japan,0
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,Other Region,0.33
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M,North America,1.09
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M,Europe,1.36
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M,Japan,0.49
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M,Other Region,0.48
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39,76,86,6.8,1319,Ubisoft Quebec,M,North America,0.81
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39,76,86,6.8,1319,Ubisoft Quebec,M,Europe,1.99
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39,76,86,6.8,1319,Ubisoft Quebec,M,Japan,0.07
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39,76,86,6.8,1319,Ubisoft Quebec,M,Other Region,0.52
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35,90,32,8.5,1041,Ubisoft Montreal,M,North America,0.88
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35,90,32,8.5,1041,Ubisoft Montreal,M,Europe,1.7
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35,90,32,8.5,1041,Ubisoft Montreal,M,Japan,0.1
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35,90,32,8.5,1041,Ubisoft Montreal,M,Other Region,0.67
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3,86,35,7.9,701,Ubisoft,M,North America,1.9
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3,86,35,7.9,701,Ubisoft,M,Europe,1.11
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3,86,35,7.9,701,Ubisoft,M,Japan,0.01
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3,86,35,7.9,701,Ubisoft,M,Other Region,0.29
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M,North America,2.61
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M,Europe,0.33
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M,Japan,0
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M,Other Region,0.34
FIFA 16,XOne,2015,Sports,Electronic Arts,3.25,84,45,4.4,459,EA Sports,E,North America,0.89
